Id,sentence,token,score
0,În plus a fost studiată suprafața în întregime și puținele platouri ce se ridicau deasupra lui.,întregime,0.2291666666666666
1,„Vezi o mulțime de reconstituiri ale acestor oameni care vânează și culeg și care arată ca europenii moderni cu pielea deschisă la culoare.,arată,0.1666666666666666
2,La acest eveniment participă o profesoară de la universitatea din apropiere.,participă,0.15
3,"Ce este urmărirea oculară?
",urmărirea,0.25
4,"„Un eveniment încântător: Scriitorul Besian Vorps și tânăra lui soție, Diana, au hotărât să-și petreacă luna de miere în masivul muntos din nord!",masivul,0.4090909090909091
5,"Timp de peste patru decenii, de ea nu s-a apropiat nici o navă.",decenii,0.2045454545454545
6,"Atunci, Soarele a început să strălucească, și călătorul și-a dat imediat haina jos.",haina,0.0227272727272727
7,"Insula mai avea atunci doar câteva mii de locuitori, care se luptau să supraviețuiască.",Insula,0.1
8,"Aceste activități includ întâlniri ale grupurilor de lucru, școli de formare pentru a împărtăși abilități cu cercetătorii mai tineri și vizite științifice de cercetare.",cercetare,0.35
9,"O astfel de colectare extinsă a datelor reprezintă o provocare în ceea ce privește dezvoltarea și convenirea asupra designului experimental, complexității și tipurilor de texte care urmează să fie citite de către participanți.",colectare,0.3
10,"Acest lucru oferă informații despre cât timp petreci uitându-te la un text sau, mai specific, cât timp ai petrecut pe fiecare cuvânt, ce cuvinte ai sărit, asupra căror cuvinte te-ai oprit și dacă a trebuit să revii și să recitești părți ale textului pentru a-l înțelege mai bine.
",oprit,0.1136363636363636
11,"Cei mai mulți se entuziasmaseră: vei părăsi lumea reală pentru cea a legendelor, a eposului autentic, pe care doar rar îl mai poți găsi aievea în zilele noastre.
",zilele,0.075
12,"De exemplu, putem compara comportamentul de citire între diferite limbi.",putem,0.05
13,"De exemplu, poate ajuta la detectarea oboselii în timpul condusului sau poate sprijini aplicațiile pentru screening și instruire în domeniul medical.",instruire,0.35
14,"Influențează oare tipul de scriere, de exemplu, alfabetul latin față de scrierea chirilică sau arabă, timpii de citire?",timpii,0.35
